Name,Season,Team,wRC+
Bryce Harper,2015,WSN,197.0
Mike Trout,2015,LAA,171.0
Josh Donaldson,2015,TOR,154.0
Joey Votto,2015,CIN,174.0
Paul Goldschmidt,2015,ARI,163.0
A.J. Pollock,2015,ARI,131.0
Buster Posey,2015,SFG,135.0
Manny Machado,2015,BAL,135.0
Kris Bryant,2015,CHC,136.0
Lorenzo Cain,2015,KCR,128.0
Andrew McCutchen,2015,PIT,144.0
Francisco Cervelli,2015,PIT,117.0
Yoenis Cespedes,2015,- - -,135.0
Jason Heyward,2015,STL,121.0
Chris Davis,2015,BAL,149.0
Matt Carpenter,2015,STL,140.0
Curtis Granderson,2015,NYM,131.0
Jose Bautista,2015,TOR,148.0
Anthony Rizzo,2015,CHC,145.0
J.D. Martinez,2015,DET,136.0
Yasmani Grandal,2015,LAD,116.0
Nelson Cruz,2015,SEA,158.0
Mookie Betts,2015,BOS,120.0
Dee Strange-Gordon,2015,MIA,116.0
Miguel Cabrera,2015,DET,165.0
Xander Bogaerts,2015,BOS,111.0
Edwin Encarnacion,2015,TOR,150.0
Nolan Arenado,2015,COL,121.0
Jason Kipnis,2015,CLE,124.0
Russell Martin,2015,TOR,115.0
Jose Altuve,2015,HOU,124.0
Matt Duffy,2015,SFG,113.0
Todd Frazier,2015,CIN,116.0
Adrian Beltre,2015,TEX,109.0
Brandon Crawford,2015,SFG,113.0
Kevin Kiermaier,2015,TBR,97.0
Logan Forsythe,2015,TBR,125.0
Francisco Lindor,2015,CLE,126.0
David Peralta,2015,ARI,137.0
Justin Turner,2015,LAD,141.0
Brandon Belt,2015,SFG,132.0
George Springer,2015,HOU,133.0
Adam Eaton,2015,CHW,121.0
Ian Kinsler,2015,DET,110.0
Joe Panik,2015,SFG,135.0
Mike Moustakas,2015,KCR,123.0
Kyle Seager,2015,SEA,115.0
Evan Longoria,2015,TBR,109.0
Odubel Herrera,2015,PHI,111.0
Derek Norris,2015,SDP,98.0
Jung Ho Kang,2015,PIT,128.0
Kevin Pillar,2015,TOR,94.0
Giancarlo Stanton,2015,MIA,155.0
Michael Brantley,2015,CLE,133.0
Eric Hosmer,2015,KCR,124.0
Carlos Correa,2015,HOU,136.0
Shin-Soo Choo,2015,TEX,128.0
Travis d'Arnaud,2015,NYM,130.0
Justin Upton,2015,SDP,119.0
Adam Jones,2015,BAL,111.0
Martin Prado,2015,MIA,102.0
Jose Abreu,2015,CHW,131.0
Freddie Freeman,2015,ATL,132.0
Starling Marte,2015,PIT,115.0
Ryan Braun,2015,MIL,131.0
Lucas Duda,2015,NYM,132.0
Kole Calhoun,2015,LAA,103.0
Chris Coghlan,2015,CHC,113.0
Joc Pederson,2015,LAD,116.0
Miguel Montero,2015,CHC,107.0
Brian Dozier,2015,MIN,102.0
Didi Gregorius,2015,NYY,89.0
Andrelton Simmons,2015,ATL,81.0
Randal Grichuk,2015,STL,138.0
Adrian Gonzalez,2015,LAD,129.0
Ben Zobrist,2015,- - -,122.0
Dexter Fowler,2015,CHC,109.0
David Ortiz,2015,BOS,139.0
Mark Teixeira,2015,NYY,143.0
Colby Rasmus,2015,HOU,118.0
Danny Valencia,2015,- - -,135.0
Carlos Gonzalez,2015,COL,116.0
Andre Ethier,2015,LAD,137.0
Josh Reddick,2015,OAK,116.0
Robinson Cano,2015,SEA,116.0
Brian McCann,2015,NYY,106.0
Alex Rodriguez,2015,NYY,129.0
Alex Gordon,2015,KCR,122.0
Neil Walker,2015,PIT,106.0
Asdrubal Cabrera,2015,TBR,104.0
Trevor Plouffe,2015,MIN,100.0
Addison Russell,2015,CHC,90.0
Adeiny Hechavarria,2015,MIA,89.0
Charlie Blackmon,2015,COL,103.0
Rougned Odor,2015,TEX,107.0
Brett Gardner,2015,NYY,106.0
Brandon Phillips,2015,CIN,97.0
Kolten Wong,2015,STL,96.0
Jason Castro,2015,HOU,80.0
Christian Yelich,2015,MIA,120.0
Troy Tulowitzki,2015,- - -,101.0
Eddie Rosario,2015,MIN,97.0
Ender Inciarte,2015,ARI,100.0
